Datum	time	measurement	pressure_sample[bar]	pressure_rounded[bar]	current[mA]	current_rounded[mA]	voltage_th[mV]	voltage_needle_th[mV]	voltage[mV]	voltage_needle[mV]	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	contact_area[cm2]	pressure_sensor	sample_thickness[cm]	cycle	degradation_corr[mOhm]	as_degradation_corr[mOhm*cm2]	main_resistance[mOhm]	main_resistance_mean[mOhm]	main_resistance_error[mOhm]	as_main_resistance[mOhm*cm2]	as_main_resistance_mean[mOhm*cm2]	as_main_resistance_error[mOhm*cm2]	as_flow_resistance[mOhm*cm2]	as_flow_resistance_mean[mOhm*cm2]	as_flow_resistance_error[mOhm*cm2]	vs_main_resistance[mOhm*cm]	vs_main_resistance_mean[mOhm*cm]	vs_main_resistance_error[mOhm*cm]	flow_resistance[mOhm]	flow_resistance_mean[mOhm]	flow_resistance_error[mOhm]	vs_flow_resistance[mOhm*cm]	vs_flow_resistance_mean[mOhm*cm]	vs_flow_resistance_error[mOhm*cm]	bulk_resistance[mOhm]	bulk_resistance_mean[mOhm]	bulk_resistance_error[mOhm]	bulk_resistance_sub[mOhm]	as_bulk_resistance[mOhm*cm2]	as_bulk_resistance_mean[mOhm*cm2]	as_bulk_resistance_error[mOhm*cm2]	vs_bulk_resistance[mOhm*cm]	vs_bulk_resistance_mean[mOhm*cm]	vs_bulk_resistance_error[mOhm*cm]	contact_resistance[mOhm]	contact_resistance_mean[mOhm]	contact_resistance_error[mOhm]	as_contact_resistance[mOhm*cm2]	as_contact_resistance_mean[mOhm*cm2]	as_contact_resistance_error[mOhm*cm2]	vs_main_conductance[S/cm]	vs_main_conductance_mean[S/cm]	vs_main_conductance_error[S/cm]	vs_flow_conductance[S/cm]	vs_flow_conductance_mean[S/cm]	vs_flow_conductance_error[S/cm]	vs_bulk_conductance[S/cm]	vs_bulk_conductance_mean[S/cm]	vs_bulk_conductance_error[S/cm]
30.08.2021	12:13:08	25 Zyklen	2.010798	2.0	49.5	0.0	10.957944	217.49996099999998	11.046924	217.49996099999998	926.1562279999999	18234.845213999997	4.15	0.425145	0.01	16.0	4.891031185341366	20.297779419166666	221.37260606060605	218.9364433809117	0.8646523649104992	918.6963151515151	908.5862400307836	3.588307314378556	898.3985357323485	888.2884606116169	3.5883073143785826	91869.63151515152	90858.62400307837	358.8307314378563	216.48157487526467	214.04541219557035	0.8646523649104992	89839.85357323484	88828.84606116169	358.8307314378563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.24078743763233	107.02270609778517	0.4323261824552496	449.19926786617424	107.02270609778517	0.4323261824552496	1.088498977853281e-05	1.1006622187406125e-05	4.3239814782363896e-08	1.113091751852455e-05	88828.84606116169	358.8307314378563	inf	inf	
30.08.2021	12:13:12	25 Zyklen	2.025681	2.0	99.4	100.0	21.759085	217.49996099999998	21.848065	217.49996099999998	912.1676869999999	9080.732778	4.15	0.428307	0.01	16.0	4.891031185341366	20.297779419166666	218.90427565392352	218.9364433809117	0.8646523649104992	908.4527439637827	908.5862400307836	3.588307314378556	888.154964544616	888.2884606116169	3.5883073143785826	90845.27439637827	90858.62400307837	358.8307314378563	214.01324446858214	214.04541219557035	0.8646523649104992	88815.4964544616	88828.84606116169	358.8307314378563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.00662223429107	107.02270609778517	0.4323261824552496	444.077482272308	107.02270609778517	0.4323261824552496	1.1007727222406486e-05	1.1006622187406125e-05	4.3239814782363896e-08	1.1259296405697968e-05	88828.84606116169	358.8307314378563	inf	inf	
30.08.2021	12:13:16	25 Zyklen	2.032819	2.0	149.6	100.0	32.613488000000004	217.49996099999998	32.702467999999996	217.49996099999998	907.1874369999999	6033.58849	4.15	0.42976400000000003	0.01	16.0	4.891031185341366	20.297779419166666	218.00459893048134	218.9364433809117	0.8646523649104992	904.7190855614976	908.5862400307836	3.588307314378556	884.4213061423309	888.2884606116169	3.5883073143785826	90471.90855614976	90858.62400307837	358.8307314378563	213.11356774513996	214.04541219557035	0.8646523649104992	88442.13061423309	88828.84606116169	358.8307314378563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.55678387256998	107.02270609778517	0.4323261824552496	442.21065307116544	107.02270609778517	0.4323261824552496	1.1053154685903061e-05	1.1006622187406125e-05	4.3239814782363896e-08	1.1306828465743327e-05	88828.84606116169	358.8307314378563	inf	inf	
30.08.2021	12:13:19	25 Zyklen	2.0364259999999996	2.0	199.4	200.0	43.36238	217.49996099999998	43.451359000000004	217.49996099999998	904.3286949999999	4526.704303	4.15	0.430507	0.01	16.0	4.891031185341366	20.297779419166666	217.46429287863592	218.9364433809117	0.8646523649104992	902.4768154463392	908.5862400307836	3.588307314378556	882.1790360271724	888.2884606116169	3.5883073143785826	90247.68154463392	90858.62400307837	358.8307314378563	212.57326169329454	214.04541219557035	0.8646523649104992	88217.90360271724	88828.84606116169	358.8307314378563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.28663084664727	107.02270609778517	0.4323261824552496	441.0895180135862	107.02270609778517	0.4323261824552496	1.1080617062782147e-05	1.1006622187406125e-05	4.3239814782363896e-08	1.1335567488697368e-05	88828.84606116169	358.8307314378563	inf	inf	
30.08.2021	12:13:22	25 Zyklen	3.049585	3.0	49.5	0.0	8.408255	217.49996099999998	8.497235	217.49996099999998	712.394455	18234.845213999997	4.15	0.644733	0.01	16.0	4.108140726104418	17.048784013333332	169.8637373737374	167.8809095248757	0.709644175497042	704.9345101010102	696.7057745282342	2.9450233283127147	687.885726087677	679.6569905149008	2.9450233283127307	70493.45101010102	69670.57745282342	294.5023328312721	165.75559664763298	163.77276879877127	0.7096441754970421	68788.57260876769	67965.69905149008	294.5023328312708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.87779832381649	81.88638439938563	0.35482208774852103	343.9428630438385	81.88638439938563	0.35482208774852103	1.4185714923457354e-05	1.4354026542604003e-05	6.034880219253855e-08	1.4537298305162703e-05	67965.69905149008	294.5023328312708	inf	inf	
30.08.2021	12:13:27	25 Zyklen	3.065696	3.0	99.4	100.0	16.691124	217.49996099999998	16.780104	217.49996099999998	700.5777820000001	9080.732778	4.15	0.64807	0.01	16.0	4.108140726104418	17.048784013333332	167.91875251509052	167.8809095248757	0.709644175497042	696.8628229376257	696.7057745282342	2.9450233283127147	679.8140389242924	679.6569905149008	2.9450233283127307	69686.28229376256	69670.57745282342	294.5023328312721	163.8106117889861	163.77276879877127	0.7096441754970421	67981.40389242924	67965.69905149008	294.5023328312708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.90530589449305	81.88638439938563	0.35482208774852103	339.9070194621462	81.88638439938563	0.35482208774852103	1.4350026534411744e-05	1.4354026542604003e-05	6.034880219253855e-08	1.470990510261241e-05	67965.69905149008	294.5023328312708	inf	inf	
30.08.2021	12:13:30	25 Zyklen	3.066893	3.0	149.6	100.0	24.991533	217.49996099999998	25.080513	217.49996099999998	695.749514	6033.58849	4.15	0.6483979999999999	0.01	16.0	4.108140726104418	17.048784013333332	167.0557018716578	167.8809095248757	0.709644175497042	693.2811627673799	696.7057745282342	2.9450233283127147	676.2323787540466	679.6569905149008	2.9450233283127307	69328.11627673799	69670.57745282342	294.5023328312721	162.94756114555338	163.77276879877127	0.7096441754970421	67623.23787540467	67965.69905149008	294.5023328312708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.47378057277669	81.88638439938563	0.35482208774852103	338.1161893770233	81.88638439938563	0.35482208774852103	1.442416228371598e-05	1.4354026542604003e-05	6.034880219253855e-08	1.4787816014407546e-05	67965.69905149008	294.5023328312708	inf	inf	
30.08.2021	12:13:33	25 Zyklen	3.0647159999999998	3.0	199.4	200.0	33.237078000000004	217.49996099999998	33.326058	217.49996099999998	693.596487	4526.704303	4.15	0.647908	0.01	16.0	4.108140726104418	17.048784013333332	166.6854463390171	167.8809095248757	0.709644175497042	691.744602306921	696.7057745282342	2.9450233283127147	674.6958182935876	679.6569905149008	2.9450233283127307	69174.4602306921	69670.57745282342	294.5023328312721	162.57730561291268	163.77276879877127	0.7096441754970421	67469.58182935877	67965.69905149008	294.5023328312708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.28865280645634	81.88638439938563	0.35482208774852103	337.3479091467938	81.88638439938563	0.35482208774852103	1.4456202428830934e-05	1.4354026542604003e-05	6.034880219253855e-08	1.4821493966409308e-05	67965.69905149008	294.5023328312708	inf	inf	
30.08.2021	12:13:36	25 Zyklen	5.050635	5.0	49.5	0.0	6.521025	217.49996099999998	6.610005	217.49996099999998	554.172138	18234.845213999997	4.15	1.067826	0.01	16.0	3.315857940160643	13.760810451666666	131.7378787878788	129.58085519944058	0.7559108966687536	546.7121969696971	537.7605490776785	3.1370302211753214	532.9513865180304	523.9997386260119	3.1370302211753214	54671.2196969697	53776.054907767844	313.7030221175318	128.42202084771816	126.26499725927995	0.7559108966687536	53295.13865180304	52399.97386260118	313.7030221175325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.21101042385908	63.132498629639976	0.3779554483343768	266.4756932590152	63.132498629639976	0.3779554483343768	1.82911595084722e-05	1.859751958498408e-05	1.0757113368201089e-07	1.8763437440952578e-05	52399.97386260118	313.7030221175325	inf	inf	
30.08.2021	12:13:41	25 Zyklen	5.056808999999999	5.0	99.4	100.0	12.870804	217.49996099999998	12.959783999999999	217.49996099999998	541.077496	9080.732778	4.15	1.0690030000000001	0.01	16.0	3.315857940160643	13.760810451666666	129.48494969818913	129.58085519944058	0.7559108966687536	537.362541247485	537.7605490776785	3.1370302211753214	523.6017307958183	523.9997386260119	3.1370302211753214	53736.25412474849	53776.054907767844	313.7030221175318	126.16909175802849	126.26499725927995	0.7559108966687536	52360.17307958183	52399.97386260118	313.7030221175325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.08454587901424	63.132498629639976	0.3779554483343768	261.80086539790915	63.132498629639976	0.3779554483343768	1.8609410281529936e-05	1.859751958498408e-05	1.0757113368201089e-07	1.9098485378956018e-05	52399.97386260118	313.7030221175325	inf	inf	
