sample	date	info	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	amplitude sign.	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	Re [Ohm*cm^2]	-Im [Ohm*cm^2]
1	2021-09-14 16:52:28	1	1378.7	0.042174	-0.010167	-0.260	1	1	11	1	0.042174	0.010167
1	2021-09-14 16:52:28	1	1834.4	0.040753	-0.0091932	-0.260	1	1	11	1	0.040753	0.0091932
1	2021-09-14 16:52:28	1	2440.8	0.038702999999999994	-0.0081622	-0.260	1	1	11	1	0.038702999999999994	0.0081622
1	2021-09-14 16:52:28	1	3247.7	0.037922000000000004	-0.0078857	-0.260	1	1	11	1	0.037922000000000004	0.0078857
1	2021-09-14 16:52:28	1	4321.3	0.035706	-0.0068512	-0.260	1	1	11	1	0.035706	0.0068512
1	2021-09-14 16:52:28	1	5749.7	0.034163	-0.006476300000000001	-0.260	1	1	11	1	0.034163	0.006476300000000001
1	2021-09-14 16:52:28	1	7650.3	0.032033	-0.0036552	-0.260	1	1	11	1	0.032033	0.0036552
1	2021-09-14 16:52:28	1	10179.0	0.031698000000000004	-0.0013528	-0.260	1	1	11	1	0.031698000000000004	0.0013528
1	2021-09-14 16:52:28	1	13544.0	0.032845	0.00019154	-0.260	1	1	11	1	0.032845	-0.00019154
1	2021-09-14 16:52:28	1	18021.0	0.033551	0.00088596	-0.260	1	1	11	1	0.033551	-0.00088596
1	2021-09-14 16:52:28	1	23979.0	0.033888	0.0013193	-0.260	1	1	11	1	0.033888	-0.0013193
1	2021-09-14 16:52:28	1	31905.0	0.03385	0.0022876999999999997	-0.260	1	1	11	1	0.03385	-0.0022876999999999997
1	2021-09-14 16:52:28	1	42452.0	0.033787	0.0029454	-0.260	1	1	11	1	0.033787	-0.0029454
1	2021-09-14 16:52:28	1	56484.0	0.034257	0.0041661	-0.260	1	1	11	1	0.034257	-0.0041661
1	2021-09-14 16:52:28	1	75156.0	0.033579000000000005	0.0062102	-0.260	1	1	11	1	0.033579000000000005	-0.0062102
1	2021-09-14 16:52:28	1	100000.0	0.034942	0.0089103	-0.260	1	1	11	1	0.034942	-0.0089103
1	2021-09-14 16:52:28	1	75156.0	0.033458999999999996	0.0060133	-0.260	1	1	11	1	0.033458999999999996	-0.0060133
1	2021-09-14 16:52:28	1	56484.0	0.03395	0.0042606	-0.260	1	1	11	1	0.03395	-0.0042606
1	2021-09-14 16:52:28	1	42452.0	0.03373	0.0029430999999999997	-0.260	1	1	11	1	0.03373	-0.0029430999999999997
1	2021-09-14 16:52:28	1	31905.0	0.033973	0.0020301	-0.260	1	1	11	1	0.033973	-0.0020301
1	2021-09-14 16:52:28	1	23979.0	0.033658	0.001266	-0.260	1	1	11	1	0.033658	-0.001266
1	2021-09-14 16:52:28	1	18021.0	0.033473	0.00086711	-0.260	1	1	11	1	0.033473	-0.00086711
1	2021-09-14 16:52:28	1	13544.0	0.032777	0.00020807	-0.260	1	1	11	1	0.032777	-0.00020807
1	2021-09-14 16:52:28	1	10179.0	0.031636000000000004	-0.0014421	-0.260	1	1	11	1	0.031636000000000004	0.0014421
1	2021-09-14 16:52:28	1	7650.3	0.031923	-0.0036226999999999995	-0.260	1	1	11	1	0.031923	0.0036226999999999995
1	2021-09-14 16:52:28	1	5749.7	0.033602	-0.0057393	-0.260	1	1	11	1	0.033602	0.0057393
1	2021-09-14 16:52:28	1	4321.3	0.035483	-0.0067782	-0.260	1	1	11	1	0.035483	0.0067782
1	2021-09-14 16:52:28	1	3247.7	0.037057	-0.0074158	-0.260	1	1	11	1	0.037057	0.0074158
1	2021-09-14 16:52:28	1	2440.8	0.039176	-0.0083758	-0.260	1	1	11	1	0.039176	0.0083758
1	2021-09-14 16:52:28	1	1834.4	0.040551	-0.0091322	-0.260	1	1	11	1	0.040551	0.0091322
