sample	date	info	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	amplitude sign.	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	Re [Ohm*cm^2]	-Im [Ohm*cm^2]
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	1378.7	0.041867	-0.012586	-0.368	5	200	1	65	0.209335	0.06293
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	1834.4	0.040067	-0.010672	-0.368	5	200	1	65	0.20033499999999999	0.05336
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	2440.8	0.037741000000000004	-0.0098344	-0.368	5	200	1	65	0.188705	0.049172
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	3247.7	0.035858999999999995	-0.008807299999999999	-0.368	5	200	1	65	0.17929499999999998	0.04403649999999999
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	4321.3	0.033914	-0.007467399999999999	-0.368	5	200	1	65	0.16957	0.037336999999999995
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	5749.7	0.032629000000000005	-0.0061299	-0.368	5	200	1	65	0.16314500000000004	0.0306495
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	7650.3	0.031684	-0.0028215	-0.368	5	200	1	65	0.15841999999999998	0.014107499999999999
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	10179.0	0.03259	-0.0012312000000000002	-0.368	5	200	1	65	0.16295	0.006156000000000001
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	13544.0	0.032907	-0.00032772	-0.368	5	200	1	65	0.164535	0.0016386
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	18021.0	0.033183	-0.00015791	-0.368	5	200	1	65	0.16591499999999998	0.0007895500000000001
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	23979.0	0.032614	-2.6353000000000003e-05	-0.368	5	200	1	65	0.16307	0.00013176500000000002
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	31905.0	0.033205	-0.001889	-0.368	5	200	1	65	0.16602499999999998	0.009445
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	42452.0	0.032421	0.0036810000000000002	-0.368	5	200	1	65	0.162105	-0.018405
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	56484.0	0.03598	0.0013064	-0.368	5	200	1	65	0.1799	-0.0065320000000000005
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	75156.0	0.032554	0.027097000000000003	-0.368	5	200	1	65	0.16277	-0.13548500000000002
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	100000.0	0.028100999999999998	0.0077869	-0.368	5	200	1	65	0.140505	-0.038934500000000004
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	75156.0	0.029169	-0.00070679	-0.368	5	200	1	65	0.145845	0.00353395
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	56484.0	0.032297	0.0028628	-0.368	5	200	1	65	0.161485	-0.014314
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	42452.0	0.033158	0.0020191	-0.368	5	200	1	65	0.16579	-0.010095499999999999
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	31905.0	0.033963	0.00028878	-0.368	5	200	1	65	0.169815	-0.0014439
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	23979.0	0.033899	0.00045327	-0.368	5	200	1	65	0.169495	-0.00226635
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	18021.0	0.033181999999999996	-0.00023011	-0.368	5	200	1	65	0.16590999999999997	0.00115055
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	13544.0	0.033006	-0.00039683	-0.368	5	200	1	65	0.16503	0.00198415
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	10179.0	0.032232	-0.0012450999999999999	-0.368	5	200	1	65	0.16115999999999997	0.006225499999999999
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	7650.3	0.031573000000000004	-0.0028434999999999997	-0.368	5	200	1	65	0.15786500000000003	0.014217499999999998
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	5749.7	0.031973	-0.005009	-0.368	5	200	1	65	0.159865	0.025045
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	4321.3	0.034061	-0.0077061000000000004	-0.368	5	200	1	65	0.170305	0.0385305
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	3247.7	0.035907999999999995	-0.0089531	-0.368	5	200	1	65	0.17953999999999998	0.0447655
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	2440.8	0.037723	-0.0098242	-0.368	5	200	1	65	0.188615	0.049121
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	1834.4	0.039932999999999996	-0.011016	-0.368	5	200	1	65	0.19966499999999998	0.05508
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	1378.7	0.041682	-0.012415	-0.368	5	200	1	65	0.20840999999999998	0.062075000000000005
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	1036.2	0.043506	-0.014062	-0.368	5	200	1	65	0.21753	0.07031
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	778.75	0.045698	-0.015938	-0.368	5	200	1	65	0.22849000000000003	0.07969000000000001
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	585.28	0.048132999999999995	-0.018268	-0.368	5	200	1	65	0.24066499999999996	0.09134
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	439.87	0.050998	-0.020873	-0.368	5	200	1	65	0.25499	0.104365
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	330.59	0.05416900000000001	-0.02384	-0.368	5	200	1	65	0.27084500000000006	0.1192
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	248.46	0.057925	-0.028186000000000003	-0.368	5	200	1	65	0.28962499999999997	0.14093
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	186.73	0.062277	-0.03155	-0.368	5	200	1	65	0.311385	0.15775
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	140.34	0.067267	-0.036032	-0.368	5	200	1	65	0.33633499999999994	0.18016000000000001
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	105.48	0.07325	-0.041642	-0.368	5	200	1	65	0.36624999999999996	0.20821
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	79.271	0.08046	-0.047964	-0.368	5	200	1	65	0.4023	0.23982
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	59.52	0.08921699999999999	-0.05463099999999999	-0.368	5	200	1	65	0.44608499999999995	0.273155
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	44.261	0.1001	-0.062206	-0.368	5	200	1	65	0.5005	0.31103
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	32.576	0.11392999999999999	-0.06980499999999999	-0.368	5	200	1	65	0.56965	0.349025
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	23.713	0.13066	-0.076429	-0.368	5	200	1	65	0.6533	0.38214499999999996
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	17.058	0.14964	-0.08065399999999999	-0.368	5	200	1	65	0.7482	0.40326999999999996
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	12.117	0.16821	-0.082504	-0.368	5	200	1	65	0.84105	0.41252
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	8.4915	0.1844	-0.085102	-0.368	5	200	1	65	0.922	0.42551
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	5.8653	0.19809000000000002	-0.09131	-0.368	5	200	1	65	0.99045	0.45655
KIT1-II_1M_200ma	2021-09-15 12:47:45	10	3.9894	0.21411999999999998	-0.10559	-0.368	5	200	1	65	1.0705999999999998	0.52795
