sample	date	info	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	amplitude sign.	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	Re [Ohm*cm^2]	-Im [Ohm*cm^2]
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	1378.7	0.040812	-0.011561	-0.292	5	200	1	65	0.20406000000000002	0.057805
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	1834.4	0.03914	-0.010375	-0.292	5	200	1	65	0.1957	0.051875000000000004
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	2440.8	0.03713	-0.0091865	-0.292	5	200	1	65	0.18565	0.0459325
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	3247.7	0.035358	-0.0083553	-0.292	5	200	1	65	0.17679	0.041776499999999994
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	4321.3	0.033456	-0.0072132	-0.292	5	200	1	65	0.16727999999999998	0.036066
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	5749.7	0.031744	-0.0054243	-0.292	5	200	1	65	0.15872	0.0271215
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	7650.3	0.030729000000000003	-0.0023643	-0.292	5	200	1	65	0.153645	0.0118215
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	10179.0	0.031444	-0.00056681	-0.292	5	200	1	65	0.15722	0.00283405
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	13544.0	0.032247000000000005	0.00034086	-0.292	5	200	1	65	0.16123500000000002	-0.0017043000000000002
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	18021.0	0.032793	0.00057969	-0.292	5	200	1	65	0.16396500000000003	-0.00289845
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	23979.0	0.032415	0.0019994	-0.292	5	200	1	65	0.162075	-0.009997
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	31905.0	0.033782	0.00063834	-0.292	5	200	1	65	0.16891	-0.0031917000000000004
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	42452.0	0.030914999999999998	0.0030264	-0.292	5	200	1	65	0.154575	-0.015132
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	56484.0	0.034461	0.0013081	-0.292	5	200	1	65	0.17230499999999999	-0.0065404999999999994
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	75156.0	0.032314999999999997	0.0050785	-0.292	5	200	1	65	0.16157499999999997	-0.0253925
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	100000.0	0.031294	0.007172199999999999	-0.292	5	200	1	65	0.15647	-0.035861
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	75156.0	0.035404000000000005	0.003635	-0.292	5	200	1	65	0.17702	-0.018175
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	56484.0	0.033731	0.001954	-0.292	5	200	1	65	0.168655	-0.009770000000000001
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	42452.0	0.031593	0.0059169	-0.292	5	200	1	65	0.15796500000000002	-0.0295845
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	31905.0	0.03468	0.0028579	-0.292	5	200	1	65	0.1734	-0.0142895
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	23979.0	0.03319	0.0020725	-0.292	5	200	1	65	0.16595	-0.0103625
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	18021.0	0.032991	0.0004886	-0.292	5	200	1	65	0.164955	-0.002443
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	13544.0	0.032297	0.00038475	-0.292	5	200	1	65	0.161485	-0.0019237500000000001
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	10179.0	0.03094	-0.00022231	-0.292	5	200	1	65	0.1547	0.00111155
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	7650.3	0.030904	-0.0025416999999999996	-0.292	5	200	1	65	0.15452	0.012708499999999998
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	5749.7	0.031873	-0.0050665	-0.292	5	200	1	65	0.15936499999999998	0.0253325
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	4321.3	0.033563	-0.007525100000000001	-0.292	5	200	1	65	0.16781500000000002	0.037625500000000006
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	3247.7	0.035411	-0.0083757	-0.292	5	200	1	65	0.177055	0.0418785
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	2440.8	0.037262	-0.0092705	-0.292	5	200	1	65	0.18631000000000003	0.0463525
KIT1-II_5M_200mA	2021-09-16 12:25:55	10	1834.4	0.039318	-0.010384000000000001	-0.292	5	200	1	65	0.19659	0.05192000000000001
