sample	date	info	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	amplitude sign.	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	Re [Ohm*cm^2]	-Im [Ohm*cm^2]
N115	2021-09-14 15:59:41	10	1378.7	0.090018	-0.01541	-0.272	5	200	1	65	0.45009	0.07705000000000001
N115	2021-09-14 15:59:41	10	1834.4	0.087407	-0.014544999999999999	-0.272	5	200	1	65	0.437035	0.072725
N115	2021-09-14 15:59:41	10	2440.8	0.0836	-0.01524	-0.272	5	200	1	65	0.418	0.0762
N115	2021-09-14 15:59:41	10	3247.7	0.07837000000000001	-0.014636000000000001	-0.272	5	200	1	65	0.39185000000000003	0.07318000000000001
N115	2021-09-14 15:59:41	10	4321.3	0.072824	-0.011202	-0.272	5	200	1	65	0.36412	0.056010000000000004
N115	2021-09-14 15:59:41	10	5749.7	0.06979500000000001	-0.0054395	-0.272	5	200	1	65	0.34897500000000004	0.0271975
N115	2021-09-14 15:59:41	10	7650.3	0.071095	0.0010613	-0.272	5	200	1	65	0.35547500000000004	-0.0053065000000000005
N115	2021-09-14 15:59:41	10	10179.0	0.075202	0.0044012	-0.272	5	200	1	65	0.37601	-0.022006
N115	2021-09-14 15:59:41	10	13544.0	0.078387	0.0048334	-0.272	5	200	1	65	0.391935	-0.024167
N115	2021-09-14 15:59:41	10	18021.0	0.08039	0.0038816000000000002	-0.272	5	200	1	65	0.40195000000000003	-0.019408
N115	2021-09-14 15:59:41	10	23979.0	0.081207	0.0032933	-0.272	5	200	1	65	0.40603500000000003	-0.0164665
N115	2021-09-14 15:59:41	10	31905.0	0.080915	0.0021476999999999998	-0.272	5	200	1	65	0.404575	-0.010738499999999998
N115	2021-09-14 15:59:41	10	42452.0	0.08154700000000001	0.0024424	-0.272	5	200	1	65	0.40773500000000007	-0.012212
N115	2021-09-14 15:59:41	10	56484.0	0.081817	0.0022478000000000003	-0.272	5	200	1	65	0.40908500000000003	-0.011239000000000002
N115	2021-09-14 15:59:41	10	75156.0	0.079401	0.0011784	-0.272	5	200	1	65	0.397005	-0.005892
N115	2021-09-14 15:59:41	10	100000.0	0.080988	0.0058135	-0.272	5	200	1	65	0.40494	-0.0290675
N115	2021-09-14 15:59:41	10	75156.0	0.080873	0.004061400000000001	-0.272	5	200	1	65	0.404365	-0.020307000000000002
N115	2021-09-14 15:59:41	10	56484.0	0.080795	0.0017170000000000002	-0.272	5	200	1	65	0.40397500000000003	-0.008585
N115	2021-09-14 15:59:41	10	42452.0	0.081273	0.0024288	-0.272	5	200	1	65	0.406365	-0.012144
N115	2021-09-14 15:59:41	10	31905.0	0.082341	0.0031477	-0.272	5	200	1	65	0.411705	-0.0157385
N115	2021-09-14 15:59:41	10	23979.0	0.08088300000000001	0.0029816	-0.272	5	200	1	65	0.4044150000000001	-0.014908000000000001
N115	2021-09-14 15:59:41	10	18021.0	0.080019	0.0037963000000000003	-0.272	5	200	1	65	0.40009500000000003	-0.018981500000000002
N115	2021-09-14 15:59:41	10	13544.0	0.078079	0.0044433	-0.272	5	200	1	65	0.390395	-0.0222165
N115	2021-09-14 15:59:41	10	10179.0	0.074652	0.0040357	-0.272	5	200	1	65	0.37326	-0.0201785
N115	2021-09-14 15:59:41	10	7650.3	0.070863	0.00099832	-0.272	5	200	1	65	0.354315	-0.0049916000000000006
N115	2021-09-14 15:59:41	10	5749.7	0.069845	-0.0055562	-0.272	5	200	1	65	0.349225	0.027781
N115	2021-09-14 15:59:41	10	4321.3	0.07222	-0.011999	-0.272	5	200	1	65	0.36110000000000003	0.05999499999999999
N115	2021-09-14 15:59:41	10	3247.7	0.077561	-0.014368	-0.272	5	200	1	65	0.387805	0.07184
N115	2021-09-14 15:59:41	10	2440.8	0.08289500000000001	-0.015487	-0.272	5	200	1	65	0.41447500000000004	0.077435
N115	2021-09-14 15:59:41	10	1834.4	0.08731699999999999	-0.015703	-0.272	5	200	1	65	0.43658499999999995	0.078515
N115	2021-09-14 15:59:41	10	1378.7	0.089599	-0.015134	-0.272	5	200	1	65	0.447995	0.07567
N115	2021-09-14 15:59:41	10	1036.2	0.091681	-0.015222999999999999	-0.272	5	200	1	65	0.458405	0.07611499999999999
N115	2021-09-14 15:59:41	10	778.75	0.09337999999999999	-0.016061000000000002	-0.272	5	200	1	65	0.4669	0.08030500000000002
N115	2021-09-14 15:59:41	10	585.28	0.096275	-0.016831	-0.272	5	200	1	65	0.481375	0.084155
N115	2021-09-14 15:59:41	10	439.87	0.09839400000000001	-0.018763	-0.272	5	200	1	65	0.49197	0.093815
N115	2021-09-14 15:59:41	10	330.59	0.10074	-0.020497	-0.272	5	200	1	65	0.5037	0.102485
N115	2021-09-14 15:59:41	10	248.46	0.10377	-0.025368	-0.272	5	200	1	65	0.51885	0.12684
N115	2021-09-14 15:59:41	10	186.73	0.10655999999999999	-0.026348000000000003	-0.272	5	200	1	65	0.5327999999999999	0.13174000000000002
N115	2021-09-14 15:59:41	10	140.34	0.1105	-0.0295	-0.272	5	200	1	65	0.5525	0.1475
N115	2021-09-14 15:59:41	10	105.48	0.11456	-0.034393	-0.272	5	200	1	65	0.5728	0.171965
N115	2021-09-14 15:59:41	10	79.271	0.11812	-0.040206	-0.272	5	200	1	65	0.5906	0.20103
N115	2021-09-14 15:59:41	10	59.52	0.12299000000000002	-0.045747	-0.272	5	200	1	65	0.6149500000000001	0.22873500000000002
N115	2021-09-14 15:59:41	10	44.261	0.12732000000000002	-0.055339	-0.272	5	200	1	65	0.6366	0.276695
N115	2021-09-14 15:59:41	10	32.576	0.13702999999999999	-0.06628200000000001	-0.272	5	200	1	65	0.6851499999999999	0.33141000000000004
