sample	date	info	current [A]	voltage [V]	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	current density [A/cm^2]	power [W]	power density [W]
1	1	1	1.0	0.255	11	1	1	11	0.09090909090909091	0.255	0.023181818181818182
1	1	1	0.9	0.269	11	1	1	11	0.08181818181818182	0.2421	0.02200909090909091
1	1	1	0.8	0.285	11	1	1	11	0.07272727272727274	0.22799999999999998	0.02072727272727273
1	1	1	0.7	0.301	11	1	1	11	0.06363636363636363	0.21069999999999997	0.019154545454545452
1	1	1	0.6	0.321	11	1	1	11	0.05454545454545454	0.1926	0.017509090909090908
1	1	1	0.5	0.345	11	1	1	11	0.045454545454545456	0.1725	0.015681818181818182
1	1	1	0.4	0.371	11	1	1	11	0.03636363636363637	0.1484	0.013490909090909093
1	1	1	0.3	0.4	11	1	1	11	0.02727272727272727	0.12	0.01090909090909091
1	1	1	0.2	0.45	11	1	1	11	0.018181818181818184	0.09000000000000001	0.008181818181818182
1	1	1	0.1	0.5	11	1	1	11	0.009090909090909092	0.05	0.004545454545454546
1	1	1	0.0	0.68	11	1	1	11	0.0	0.0	0.0
