File.......:  geis_10ma_kit3 i_5mol_5cm2_200ma - SEP,16.2021

System.....:  
Potential..:  -0.268V
Current....:  -32.157uA
Temperature:  -3.1 +-0.0 C
Time.......:  15:27:33 - 15:30:25
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   56
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       5.0187e-02       -1.4472e-02        0.999           0.0
   2      1.3787e+03       4.8169e-02       -1.2988e-02        1.000           1.8
   3      1.8344e+03       4.6117e-02       -1.2010e-02        1.000           2.8
   4      2.4408e+03       4.3711e-02       -1.0499e-02        1.000           3.9
   5      3.2477e+03       4.1627e-02       -9.4738e-03        0.999           4.9
   6      4.3213e+03       3.9187e-02       -8.6651e-03        0.998           5.9
   7      5.7497e+03       3.6864e-02       -6.5827e-03        0.999           7.0
   8      7.6503e+03       3.6121e-02       -2.6691e-03        0.982           8.0
   9      1.0179e+04       3.6766e-02        1.0139e-04        0.995           9.2
  10      1.3544e+04       3.8581e-02        7.5022e-04        0.997          10.4
  11      1.8021e+04       3.9156e-02        1.0319e-03        0.983          11.4
  12      2.3979e+04       3.9859e-02        2.0413e-03        0.993          12.4
  13      3.1905e+04       3.9708e-02        1.8710e-03        0.983          13.5
  14      4.2452e+04       3.7701e-02        5.6159e-03        0.982          14.7
  15      5.6484e+04       3.9803e-02        5.0457e-03        0.986          16.0
  16      7.5156e+04       3.9528e-02        3.8408e-03        0.981          17.2
  17      1.0000e+05       3.8979e-02        7.8036e-03        0.971          18.5
  18      7.5156e+04       3.9522e-02        5.4573e-03        0.983          19.7
  19      5.6484e+04       4.0238e-02        3.5416e-03        0.985          20.9
  20      4.2452e+04       3.7645e-02        5.7984e-04        0.981          22.1
  21      3.1905e+04       4.0910e-02        6.6146e-04        0.978          23.4
  22      2.3979e+04       3.9587e-02        1.8736e-03        0.996          24.6
  23      1.8021e+04       3.9297e-02        1.1025e-03        0.992          25.6
  24      1.3544e+04       3.8595e-02        9.0056e-04        0.996          26.6
  25      1.0179e+04       3.6758e-02       -9.0467e-04        0.996          27.6
  26      7.6503e+03       3.6119e-02       -2.6160e-03        0.985          28.7
  27      5.7497e+03       3.7170e-02       -6.2285e-03        0.999          29.7
  28      4.3213e+03       3.9657e-02       -8.6990e-03        0.998          30.8
  29      3.2477e+03       4.1862e-02       -9.5842e-03        1.000          31.8
  30      2.4408e+03       4.3816e-02       -1.0625e-02        0.998          32.8
  31      1.8344e+03       4.6446e-02       -1.1924e-02        0.999          33.8
  32      1.3787e+03       4.8497e-02       -1.3107e-02        0.999          34.8
  33      1.0362e+03       5.0489e-02       -1.4608e-02        0.999          35.8
  34      7.7875e+02       5.2731e-02       -1.6331e-02        0.999          36.9
  35      5.8528e+02       5.5220e-02       -1.8292e-02        0.999          37.9
  36      4.3987e+02       5.7758e-02       -2.1125e-02        0.999          39.8
  37      3.3059e+02       6.1139e-02       -2.4155e-02        0.997          42.6
  38      2.4846e+02       6.5623e-02       -2.7090e-02        1.000          44.8
  39      1.8673e+02       6.9602e-02       -3.1958e-02        0.999          47.2
  40      1.4034e+02       7.4994e-02       -3.6757e-02        0.999          49.5
  41      1.0548e+02       8.2220e-02       -4.1809e-02        1.000          52.2
  42      7.9271e+01       9.0230e-02       -4.6896e-02        1.000          55.0
  43      5.9520e+01       9.9773e-02       -5.1563e-02        1.000          56.7
  44      4.4261e+01       1.1089e-01       -5.5426e-02        0.998          58.7
  45      3.2576e+01       1.2203e-01       -5.8396e-02        1.000          60.7
  46      2.3713e+01       1.3218e-01       -6.1450e-02        1.000          62.9
  47      1.7058e+01       1.4208e-01       -6.6471e-02        0.999          65.2
  48      1.2117e+01       1.5082e-01       -7.6728e-02        0.999          67.9
  49      8.4915e+00       1.6362e-01       -9.2284e-02        1.000          71.1
  50      5.8653e+00       1.8090e-01       -1.1578e-01        0.999          75.1
  51      3.9894e+00       2.1141e-01       -1.4637e-01        1.000          79.9
  52      2.6693e+00       2.4474e-01       -1.7615e-01        0.995          86.1
  53      1.7553e+00       3.4123e-01       -2.1372e-01        1.000          96.1
  54      1.1334e+00       4.6151e-01       -1.9973e-01        0.999         108.3
  55      7.1810e-01       5.5827e-01       -9.3622e-02        0.997         129.1
  56      4.4623e-01       5.3919e-01        3.1063e-02        0.994         154.3

