File.......:  geis_10ma_kit3 i_5mol_5cm2_200ma_v2 - SEP,16.2021

System.....:  
Potential..:  -0.261V
Current....:  -30.19uA
Temperature:  -3.1 +-0.0 C
Time.......:  15:39:06 - 15:42:58
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       5.1033e-02       -1.4990e-02        0.999           0.0
   2      1.3787e+03       4.8858e-02       -1.3621e-02        1.000           2.3
   3      1.8344e+03       4.7159e-02       -1.2437e-02        1.000           3.2
   4      2.4408e+03       4.4130e-02       -1.0967e-02        0.999           4.4
   5      3.2477e+03       4.2226e-02       -9.9262e-03        0.999           5.4
   6      4.3213e+03       3.9623e-02       -8.4535e-03        0.998           6.4
   7      5.7497e+03       3.7116e-02       -6.2532e-03        0.999           7.5
   8      7.6503e+03       3.6355e-02       -2.7958e-03        0.997           8.5
   9      1.0179e+04       3.6901e-02       -1.8948e-04        0.996           9.6
  10      1.3544e+04       3.8727e-02        7.0100e-04        0.999          10.8
  11      1.8021e+04       3.9438e-02        1.2793e-03        0.961          11.8
  12      2.3979e+04       4.0164e-02       -2.2840e-04        0.987          12.8
  13      3.1905e+04       3.9730e-02        1.3470e-03        0.989          13.9
  14      4.2452e+04       3.9128e-02        2.2803e-03        0.990          15.3
  15      5.6484e+04       3.9537e-02        4.9388e-03        0.988          16.7
  16      7.5156e+04       3.9947e-02        3.9794e-03        0.980          18.0
  17      1.0000e+05       3.9121e-02        7.5385e-03        0.976          19.3
  18      7.5156e+04       3.8938e-02        5.0200e-03        0.987          20.6
  19      5.6484e+04       4.0087e-02        1.8382e-03        0.985          21.8
  20      4.2452e+04       4.0658e-02        2.7243e-03        0.990          22.9
  21      3.1905e+04       3.9840e-02        1.3634e-03        0.983          24.2
  22      2.3979e+04       3.9585e-02        6.1933e-04        0.984          25.4
  23      1.8021e+04       3.9309e-02        9.7243e-04        0.945          26.5
  24      1.3544e+04       3.8684e-02        7.2026e-04        0.998          27.5
  25      1.0179e+04       3.7101e-02       -1.1079e-03        0.997          28.5
  26      7.6503e+03       3.6234e-02       -2.8190e-03        0.997          29.5
  27      5.7497e+03       3.7163e-02       -6.2399e-03        0.999          30.6
  28      4.3213e+03       3.9704e-02       -8.4959e-03        0.997          31.6
  29      3.2477e+03       4.2075e-02       -9.8666e-03        0.999          32.7
  30      2.4408e+03       4.4034e-02       -1.0971e-02        0.999          33.7
  31      1.8344e+03       4.6579e-02       -1.2232e-02        0.999          34.7
  32      1.3787e+03       4.8556e-02       -1.3360e-02        0.999          35.6
  33      1.0362e+03       5.0778e-02       -1.5142e-02        1.000          36.7
  34      7.7875e+02       5.3109e-02       -1.7193e-02        0.999          37.7
  35      5.8528e+02       5.5606e-02       -1.9086e-02        0.999          38.7
  36      4.3987e+02       5.8520e-02       -2.1795e-02        0.999          40.6
  37      3.3059e+02       6.1645e-02       -2.5132e-02        0.998          42.6
  38      2.4846e+02       6.6527e-02       -2.8694e-02        0.998          44.3
  39      1.8673e+02       7.0330e-02       -3.2811e-02        0.999          46.2
  40      1.4034e+02       7.6154e-02       -3.7862e-02        0.999          48.2
  41      1.0548e+02       8.2874e-02       -4.3686e-02        1.000          49.9
  42      7.9271e+01       9.1372e-02       -4.9446e-02        1.000          51.6
  43      5.9520e+01       1.0150e-01       -5.4976e-02        1.000          53.4
  44      4.4261e+01       1.1352e-01       -5.9896e-02        0.999          55.3
  45      3.2576e+01       1.2593e-01       -6.3525e-02        0.999          57.2
  46      2.3713e+01       1.3784e-01       -6.6432e-02        1.000          59.5
  47      1.7058e+01       1.4868e-01       -7.1374e-02        1.000          61.8
  48      1.2117e+01       1.5297e-01       -8.2492e-02        0.995          64.5
  49      8.4915e+00       1.7123e-01       -9.4294e-02        1.000          67.8
  50      5.8653e+00       1.8898e-01       -1.1728e-01        1.000          71.6
  51      3.9894e+00       2.1789e-01       -1.4900e-01        0.999          76.5
  52      2.6693e+00       2.6500e-01       -1.8977e-01        1.000          82.8
  53      1.7553e+00       3.5021e-01       -2.2271e-01        1.000          92.8
  54      1.1334e+00       4.8065e-01       -2.0807e-01        0.999         107.6
  55      7.1810e-01       5.8365e-01       -8.7247e-02        0.996         124.8
  56      4.4623e-01       5.4744e-01        4.9673e-02        0.994         149.9
  57      2.7192e-01       4.6231e-01        8.8547e-02        0.993         185.4

