File.......:  geis_10ma_kit2-II_1mol_5cm2_200ma - SEP,16.2021

System.....:  
Potential..:  -0.377V
Current....:  -29.945uA
Temperature:  -2.8 +-0.0 C
Time.......:  11:45:29 - 11:49:52
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       3.9111e-02       -1.1444e-02        0.999           0.0
   2      1.3787e+03       3.7405e-02       -1.0354e-02        0.997           2.3
   3      1.8344e+03       3.5974e-02       -9.1603e-03        0.999           3.3
   4      2.4408e+03       3.4095e-02       -8.1204e-03        1.000           4.4
   5      3.2477e+03       3.2576e-02       -7.2593e-03        0.999           5.4
   6      4.3213e+03       3.1006e-02       -6.4407e-03        0.998           6.5
   7      5.7497e+03       2.9199e-02       -4.8731e-03        0.998           7.6
   8      7.6503e+03       2.8509e-02       -2.3720e-03        0.991           8.6
   9      1.0179e+04       2.8879e-02       -8.3527e-04        0.996           9.8
  10      1.3544e+04       2.9400e-02        2.1122e-04        0.994          11.0
  11      1.8021e+04       3.0232e-02        5.9716e-04        0.866          12.0
  12      2.3979e+04       3.0746e-02        6.4947e-04        0.986          13.0
  13      3.1905e+04       2.8040e-02        2.5307e-03        0.933          14.2
  14      4.2452e+04       3.0915e-02        1.2720e-03        0.986          15.6
  15      5.6484e+04       2.9205e-02        3.2015e-03        0.978          16.8
  16      7.5156e+04       2.5897e-02        4.0361e-03        0.974          17.9
  17      1.0000e+05       3.0936e-02        8.6825e-03        0.943          19.1
  18      7.5156e+04       2.8584e-02        5.4487e-03        0.963          20.4
  19      5.6484e+04       3.0123e-02        3.1936e-03        0.979          21.6
  20      4.2452e+04       2.9200e-02        2.7682e-03        0.990          22.7
  21      3.1905e+04       3.0197e-02        1.0000e-03        0.980          24.0
  22      2.3979e+04       2.9890e-02        1.1455e-03        0.989          25.2
  23      1.8021e+04       3.0249e-02        4.6223e-04        0.879          26.3
  24      1.3544e+04       2.9588e-02        2.1505e-04        0.998          27.3
  25      1.0179e+04       2.8666e-02       -1.1282e-03        0.985          28.3
  26      7.6503e+03       2.8551e-02       -2.4702e-03        0.995          29.5
  27      5.7497e+03       2.9276e-02       -4.9389e-03        0.999          30.8
  28      4.3213e+03       3.0988e-02       -6.3641e-03        0.996          31.8
  29      3.2477e+03       3.2788e-02       -7.2890e-03        0.998          32.8
  30      2.4408e+03       3.4181e-02       -8.2041e-03        0.999          33.8
  31      1.8344e+03       3.5992e-02       -9.4388e-03        0.999          34.8
  32      1.3787e+03       3.7696e-02       -1.0371e-02        0.998          35.8
  33      1.0362e+03       3.9181e-02       -1.1587e-02        0.999          36.8
  34      7.7875e+02       4.0986e-02       -1.3059e-02        0.999          37.8
  35      5.8528e+02       4.3022e-02       -1.4966e-02        0.999          38.9
  36      4.3987e+02       4.5393e-02       -1.6912e-02        0.999          40.7
  37      3.3059e+02       4.7785e-02       -1.9266e-02        0.999          42.7
  38      2.4846e+02       5.1322e-02       -2.2353e-02        1.000          44.4
  39      1.8673e+02       5.3921e-02       -2.5280e-02        0.999          45.9
  40      1.4034e+02       5.7917e-02       -2.9226e-02        0.999          48.2
  41      1.0548e+02       6.2419e-02       -3.3840e-02        1.000          50.5
  42      7.9271e+01       6.7669e-02       -3.9216e-02        1.000          52.2
  43      5.9520e+01       7.4419e-02       -4.5797e-02        1.000          54.3
  44      4.4261e+01       8.3035e-02       -5.3187e-02        0.998          56.6
  45      3.2576e+01       9.3950e-02       -6.1344e-02        0.999          58.6
  46      2.3713e+01       1.0789e-01       -6.8890e-02        0.999          60.8
  47      1.7058e+01       1.2440e-01       -7.5170e-02        0.999          63.1
  48      1.2117e+01       1.4037e-01       -8.0784e-02        1.000          65.9
  49      8.4915e+00       1.5575e-01       -8.7873e-02        1.000          69.1
  50      5.8653e+00       1.7117e-01       -1.0020e-01        1.000          73.0
  51      3.9894e+00       1.9131e-01       -1.2104e-01        1.000          77.8
  52      2.6693e+00       2.2359e-01       -1.5150e-01        0.999          83.9
  53      1.7553e+00       2.7899e-01       -1.8930e-01        0.999          94.0
  54      1.1334e+00       3.7579e-01       -2.1122e-01        0.999         106.2
  55      7.1810e-01       4.9353e-01       -1.6461e-01        0.993         127.1
  56      4.4623e-01       5.3689e-01       -3.0218e-02        0.996         152.2
  57      2.7192e-01       4.8202e-01        4.1329e-02        0.994         187.7

