File.......:  geis_10ma_kit2-II_5mol_5cm2_200ma_v2 - SEP,16.2021

System.....:  
Potential..:  -0.287V
Current....:  -32.536uA
Temperature:  -2.9 +-0.0 C
Time.......:  12:47:43 - 12:50:34
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   56
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.2738e-02       -1.2985e-02        0.999           0.0
   2      1.3787e+03       4.0829e-02       -1.1732e-02        1.000           2.1
   3      1.8344e+03       3.9323e-02       -1.0899e-02        1.000           3.1
   4      2.4408e+03       3.7150e-02       -9.2819e-03        1.000           4.2
   5      3.2477e+03       3.5375e-02       -8.3210e-03        0.999           5.2
   6      4.3213e+03       3.4175e-02       -7.3643e-03        0.998           6.2
   7      5.7497e+03       3.1045e-02       -5.3986e-03        0.997           7.3
   8      7.6503e+03       3.0919e-02       -2.5056e-03        0.985           8.3
   9      1.0179e+04       3.0936e-02       -5.8907e-04        0.988           9.5
  10      1.3544e+04       3.2219e-02        3.9092e-04        0.998          10.7
  11      1.8021e+04       3.2925e-02        7.4800e-04        0.794          11.7
  12      2.3979e+04       3.2518e-02       -1.7689e-03        0.987          12.7
  13      3.1905e+04       3.3341e-02       -1.6656e-03        0.984          13.8
  14      4.2452e+04       3.3595e-02        2.6964e-03        0.915          15.0
  15      5.6484e+04       3.2476e-02       -6.6328e-05        0.978          16.4
  16      7.5156e+04       3.1837e-02        6.6736e-03        0.967          17.7
  17      1.0000e+05       3.3005e-02        6.6770e-03        0.965          19.0
  18      7.5156e+04       2.9701e-02        3.9921e-03        0.971          20.1
  19      5.6484e+04       3.0069e-02        4.3177e-03        0.981          21.3
  20      4.2452e+04       3.2883e-02        2.0699e-03        0.922          22.5
  21      3.1905e+04       3.1658e-02        2.8404e-03        0.970          23.7
  22      2.3979e+04       3.0364e-02        4.1610e-04        0.982          24.9
  23      1.8021e+04       3.2878e-02        5.8502e-04        0.794          26.0
  24      1.3544e+04       3.2401e-02        8.7281e-05        0.998          27.0
  25      1.0179e+04       3.1279e-02       -7.8020e-04        0.988          28.0
  26      7.6503e+03       3.0976e-02       -2.5968e-03        0.986          29.1
  27      5.7497e+03       3.1876e-02       -5.6496e-03        0.998          30.2
  28      4.3213e+03       3.3023e-02       -7.4746e-03        0.997          31.2
  29      3.2477e+03       3.5543e-02       -8.3471e-03        0.998          32.2
  30      2.4408e+03       3.7259e-02       -9.2922e-03        0.998          33.2
  31      1.8344e+03       3.9222e-02       -1.0464e-02        0.999          34.3
  32      1.3787e+03       4.1094e-02       -1.1807e-02        0.999          35.3
  33      1.0362e+03       4.3088e-02       -1.3029e-02        0.999          36.3
  34      7.7875e+02       4.4926e-02       -1.4666e-02        0.999          37.3
  35      5.8528e+02       4.7108e-02       -1.6739e-02        1.000          38.3
  36      4.3987e+02       4.9773e-02       -1.8952e-02        1.000          40.1
  37      3.3059e+02       5.2704e-02       -2.1665e-02        0.999          42.1
  38      2.4846e+02       5.5570e-02       -2.5193e-02        0.999          43.8
  39      1.8673e+02       6.0253e-02       -2.8638e-02        1.000          45.3
  40      1.4034e+02       6.5352e-02       -3.2876e-02        0.999          47.0
  41      1.0548e+02       7.1238e-02       -3.7469e-02        1.000          48.6
  42      7.9271e+01       7.8512e-02       -4.2086e-02        0.999          50.7
  43      5.9520e+01       8.7027e-02       -4.6652e-02        1.000          52.9
  44      4.4261e+01       9.7001e-02       -5.0658e-02        0.998          54.8
  45      3.2576e+01       1.0745e-01       -5.3547e-02        1.000          56.7
  46      2.3713e+01       1.1756e-01       -5.5980e-02        1.000          58.8
  47      1.7058e+01       1.2689e-01       -5.9309e-02        0.999          61.3
  48      1.2117e+01       1.3473e-01       -6.7138e-02        0.999          64.1
  49      8.4915e+00       1.4298e-01       -7.9809e-02        1.000          67.3
  50      5.8653e+00       1.5521e-01       -1.0029e-01        1.000          71.2
  51      3.9894e+00       1.6404e-01       -1.2311e-01        0.993          75.9
  52      2.6693e+00       2.1071e-01       -1.7205e-01        0.999          82.2
  53      1.7553e+00       2.7830e-01       -2.2312e-01        0.999          92.3
  54      1.1334e+00       4.1071e-01       -2.5448e-01        0.999         104.5
  55      7.1810e-01       5.8647e-01       -1.5099e-01        0.996         125.4
  56      4.4623e-01       5.7404e-01        5.9705e-02        0.993         150.5

