File.......:  geis_20ma_kit1_II_1mol_5cm2_200ma - SEP,15.2021

System.....:  
Potential..:  -0.375V
Current....:  -31.98uA
Temperature:  -2.9 +-0.0 C
Time.......:  12:43:06 - 12:46:54
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.4225e-02       -1.4139e-02        1.000           0.0
   2      1.3787e+03       4.2379e-02       -1.2602e-02        1.000           1.9
   3      1.8344e+03       4.0612e-02       -1.1241e-02        1.000           2.9
   4      2.4408e+03       3.8378e-02       -9.9361e-03        0.999           4.0
   5      3.2477e+03       3.6556e-02       -8.9211e-03        0.999           5.0
   6      4.3213e+03       3.4967e-02       -7.9834e-03        0.998           6.0
   7      5.7497e+03       3.2632e-02       -5.7764e-03        0.999           7.1
   8      7.6503e+03       3.1991e-02       -3.1461e-03        1.000           8.1
   9      1.0179e+04       3.2834e-02       -1.0673e-03        0.998           9.2
  10      1.3544e+04       3.3594e-02       -5.7014e-04        0.999          10.3
  11      1.8021e+04       3.3629e-02       -4.5076e-05        0.961          11.2
  12      2.3979e+04       3.3339e-02        3.9293e-04        0.995          12.3
  13      3.1905e+04       3.3959e-02        1.3065e-03        0.982          13.4
  14      4.2452e+04       3.2950e-02        2.4901e-03        0.996          14.6
  15      5.6484e+04       3.3285e-02        3.0773e-03        0.995          15.5
  16      7.5156e+04       3.2597e-02        4.3671e-03        0.983          16.6
  17      1.0000e+05       3.2909e-02        8.1846e-03        0.977          17.9
  18      7.5156e+04       3.2549e-02        4.7044e-03        0.978          19.2
  19      5.6484e+04       3.3042e-02        2.8184e-03        0.994          20.3
  20      4.2452e+04       3.3255e-02        2.3795e-03        0.990          21.3
  21      3.1905e+04       3.3150e-02        1.4650e-03        0.990          22.3
  22      2.3979e+04       3.3583e-02       -5.3294e-04        0.995          23.6
  23      1.8021e+04       3.3674e-02       -1.1082e-04        0.992          24.8
  24      1.3544e+04       3.3573e-02       -5.3672e-04        0.999          25.8
  25      1.0179e+04       3.2875e-02       -1.3388e-03        0.998          26.8
  26      7.6503e+03       3.2023e-02       -2.8169e-03        0.999          27.8
  27      5.7497e+03       3.2719e-02       -6.0486e-03        1.000          28.8
  28      4.3213e+03       3.4421e-02       -7.7622e-03        0.999          29.8
  29      3.2477e+03       3.6893e-02       -9.1934e-03        0.999          30.8
  30      2.4408e+03       3.8328e-02       -9.9231e-03        0.999          31.9
  31      1.8344e+03       4.0289e-02       -1.1238e-02        0.999          32.8
  32      1.3787e+03       4.2238e-02       -1.2572e-02        1.000          33.8
  33      1.0362e+03       4.4278e-02       -1.4126e-02        1.000          34.8
  34      7.7875e+02       4.6273e-02       -1.5943e-02        1.000          35.9
  35      5.8528e+02       4.8794e-02       -1.8220e-02        1.000          36.9
  36      4.3987e+02       5.1717e-02       -2.0861e-02        1.000          38.7
  37      3.3059e+02       5.4842e-02       -2.4014e-02        0.999          40.7
  38      2.4846e+02       5.8574e-02       -2.7839e-02        0.999          42.4
  39      1.8673e+02       6.3043e-02       -3.1609e-02        0.999          43.9
  40      1.4034e+02       6.8202e-02       -3.6213e-02        1.000          45.6
  41      1.0548e+02       7.4201e-02       -4.1565e-02        1.000          47.9
  42      7.9271e+01       8.1472e-02       -4.7549e-02        1.000          50.7
  43      5.9520e+01       8.9996e-02       -5.4236e-02        1.000          52.7
  44      4.4261e+01       1.0105e-01       -6.1387e-02        0.999          54.7
  45      3.2576e+01       1.1495e-01       -6.8729e-02        1.000          56.7
  46      2.3713e+01       1.3153e-01       -7.4998e-02        1.000          58.8
  47      1.7058e+01       1.5005e-01       -7.8334e-02        1.000          61.2
  48      1.2117e+01       1.6785e-01       -8.0002e-02        1.000          64.0
  49      8.4915e+00       1.8346e-01       -8.2231e-02        1.000          67.2
  50      5.8653e+00       1.9703e-01       -8.8474e-02        1.000          71.1
  51      3.9894e+00       2.1215e-01       -1.0251e-01        0.999          75.8
  52      2.6693e+00       2.3367e-01       -1.2580e-01        1.000          81.9
  53      1.7553e+00       2.7048e-01       -1.6076e-01        0.999          91.9
  54      1.1334e+00       3.3848e-01       -2.0019e-01        0.999         104.1
  55      7.1810e-01       4.5699e-01       -2.0577e-01        0.998         121.3
  56      4.4623e-01       5.6770e-01       -1.0728e-01        0.993         152.1
  57      2.7192e-01       5.5089e-01        1.9483e-02        0.989         187.6

