File.......:  kit1_1mol_5cm2_ocv_500ma - SEP,14.2021

System.....:  
Potential..:  -0.260V
Current....:  -29.98uA
Temperature:  -2.9 +-0.0 C
Time.......:  16:52:28 - 16:56:59
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   58
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.3772e-02       -1.1334e-02        1.000           0.0
   2      1.3787e+03       4.2174e-02       -1.0167e-02        1.000           2.3
   3      1.8344e+03       4.0753e-02       -9.1932e-03        1.000           3.3
   4      2.4408e+03       3.8703e-02       -8.1622e-03        0.999           4.4
   5      3.2477e+03       3.7922e-02       -7.8857e-03        1.000           5.4
   6      4.3213e+03       3.5706e-02       -6.8512e-03        0.999           6.5
   7      5.7497e+03       3.4163e-02       -6.4763e-03        1.000           7.6
   8      7.6503e+03       3.2033e-02       -3.6552e-03        0.999           8.6
   9      1.0179e+04       3.1698e-02       -1.3528e-03        0.999           9.7
  10      1.3544e+04       3.2845e-02        1.9154e-04        1.000          10.8
  11      1.8021e+04       3.3551e-02        8.8596e-04        0.999          11.8
  12      2.3979e+04       3.3888e-02        1.3193e-03        0.999          12.8
  13      3.1905e+04       3.3850e-02        2.2877e-03        0.997          14.0
  14      4.2452e+04       3.3787e-02        2.9454e-03        0.998          15.1
  15      5.6484e+04       3.4257e-02        4.1661e-03        0.999          16.2
  16      7.5156e+04       3.3579e-02        6.2102e-03        0.996          17.3
  17      1.0000e+05       3.4942e-02        8.9103e-03        0.992          18.6
  18      7.5156e+04       3.3459e-02        6.0133e-03        0.998          19.7
  19      5.6484e+04       3.3950e-02        4.2606e-03        0.998          20.8
  20      4.2452e+04       3.3730e-02        2.9431e-03        0.997          21.8
  21      3.1905e+04       3.3973e-02        2.0301e-03        0.994          22.8
  22      2.3979e+04       3.3658e-02        1.2660e-03        0.998          24.0
  23      1.8021e+04       3.3473e-02        8.6711e-04        0.999          25.1
  24      1.3544e+04       3.2777e-02        2.0807e-04        1.000          26.1
  25      1.0179e+04       3.1636e-02       -1.4421e-03        0.999          27.1
  26      7.6503e+03       3.1923e-02       -3.6227e-03        1.000          28.1
  27      5.7497e+03       3.3602e-02       -5.7393e-03        0.999          29.1
  28      4.3213e+03       3.5483e-02       -6.7782e-03        0.999          30.2
  29      3.2477e+03       3.7057e-02       -7.4158e-03        0.999          31.2
  30      2.4408e+03       3.9176e-02       -8.3758e-03        1.000          32.2
  31      1.8344e+03       4.0551e-02       -9.1322e-03        1.000          33.3
  32      1.3787e+03       4.1966e-02       -1.0040e-02        1.000          34.3
  33      1.0362e+03       4.3489e-02       -1.1215e-02        1.000          35.3
  34      7.7875e+02       4.5199e-02       -1.2579e-02        1.000          36.3
  35      5.8528e+02       4.7181e-02       -1.4247e-02        1.000          37.4
  36      4.3987e+02       4.9454e-02       -1.6079e-02        1.000          39.3
  37      3.3059e+02       5.1971e-02       -1.8305e-02        1.000          41.3
  38      2.4846e+02       5.4837e-02       -2.0605e-02        1.000          43.0
  39      1.8673e+02       5.7862e-02       -2.3645e-02        1.000          44.5
  40      1.4034e+02       6.1268e-02       -2.7065e-02        1.000          46.2
  41      1.0548e+02       6.5225e-02       -3.1137e-02        1.000          47.8
  42      7.9271e+01       7.0335e-02       -3.6368e-02        1.000          49.6
  43      5.9520e+01       7.6241e-02       -4.2260e-02        1.000          51.3
  44      4.4261e+01       8.4600e-02       -4.9354e-02        0.999          53.6
  45      3.2576e+01       9.5210e-02       -5.6198e-02        1.000          56.0
  46      2.3713e+01       1.0842e-01       -6.2895e-02        0.999          58.2
  47      1.7058e+01       1.2344e-01       -6.8319e-02        1.000          60.6
  48      1.2117e+01       1.3975e-01       -7.2775e-02        0.999          63.4
  49      8.4915e+00       1.5786e-01       -7.8464e-02        0.999          66.6
  50      5.8653e+00       1.7897e-01       -8.5234e-02        1.000          70.5
  51      3.9894e+00       2.0837e-01       -8.8706e-02        0.999          75.3
  52      2.6693e+00       2.4212e-01       -8.0112e-02        0.999          81.6
  53      1.7553e+00       2.7145e-01       -6.0104e-02        0.999          91.5
  54      1.1334e+00       2.8515e-01       -3.2113e-02        0.998         103.7
  55      7.1810e-01       2.8383e-01       -9.8858e-03        0.997         120.9
  56      4.4623e-01       2.7439e-01        3.3126e-03        0.997         146.1
  57      2.7192e-01       2.7335e-01       -1.2241e-03        0.995         181.6
  58      1.6257e-01       2.6810e-01        1.4548e-03        0.995         235.3

