File.......:  kit1_5mol_5cm2_200ma - SEP,14.2021

System.....:  
Potential..:  -0.293V
Current....:  -30.105uA
Temperature:  -2.9 +-0.0 C
Time.......:  17:28:04 - 17:32:17
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.5230e-02       -1.0564e-02        0.999           0.0
   2      1.3787e+03       4.3842e-02       -9.6156e-03        0.999           2.3
   3      1.8344e+03       4.2394e-02       -8.7045e-03        0.999           3.3
   4      2.4408e+03       4.0352e-02       -7.8240e-03        0.999           4.4
   5      3.2477e+03       3.8856e-02       -7.1785e-03        0.998           5.4
   6      4.3213e+03       3.7120e-02       -6.2176e-03        0.999           6.5
   7      5.7497e+03       3.5225e-02       -4.8781e-03        0.999           7.6
   8      7.6503e+03       3.4553e-02       -2.2745e-03        0.997           8.6
   9      1.0179e+04       3.5171e-02       -7.5273e-04        0.999           9.7
  10      1.3544e+04       3.6032e-02        1.0411e-05        0.999          10.8
  11      1.8021e+04       3.6390e-02        3.9904e-04        0.981          11.8
  12      2.3979e+04       3.6327e-02        1.2449e-03        0.999          12.9
  13      3.1905e+04       3.5975e-02        1.8175e-03        0.995          14.2
  14      4.2452e+04       3.5987e-02        2.7995e-03        0.997          15.5
  15      5.6484e+04       3.5605e-02        3.8769e-03        0.989          16.7
  16      7.5156e+04       3.5565e-02        4.9138e-03        0.996          18.0
  17      1.0000e+05       3.6022e-02        7.8911e-03        0.996          19.2
  18      7.5156e+04       3.5414e-02        5.2664e-03        0.997          20.5
  19      5.6484e+04       3.6130e-02        4.3352e-03        0.995          21.7
  20      4.2452e+04       3.5994e-02        2.5532e-03        0.998          22.9
  21      3.1905e+04       3.6462e-02        1.4570e-03        0.998          24.1
  22      2.3979e+04       3.5872e-02        8.0867e-04        0.997          25.3
  23      1.8021e+04       3.6294e-02        3.8507e-04        0.985          26.5
  24      1.3544e+04       3.5959e-02        1.0119e-04        0.999          27.5
  25      1.0179e+04       3.5184e-02       -7.6129e-04        0.999          28.5
  26      7.6503e+03       3.4649e-02       -2.2751e-03        0.999          29.5
  27      5.7497e+03       3.5264e-02       -4.7854e-03        0.999          30.5
  28      4.3213e+03       3.7074e-02       -6.2777e-03        0.998          31.6
  29      3.2477e+03       3.8872e-02       -7.2550e-03        0.997          32.6
  30      2.4408e+03       4.0484e-02       -7.8775e-03        0.999          33.7
  31      1.8344e+03       4.2667e-02       -8.7409e-03        0.999          34.7
  32      1.3787e+03       4.3972e-02       -9.4107e-03        0.999          35.7
  33      1.0362e+03       4.5374e-02       -1.0642e-02        1.000          36.7
  34      7.7875e+02       4.7219e-02       -1.1725e-02        0.999          37.8
  35      5.8528e+02       4.9027e-02       -1.3185e-02        0.999          38.8
  36      4.3987e+02       5.1018e-02       -1.4590e-02        0.999          40.7
  37      3.3059e+02       5.3270e-02       -1.6585e-02        0.998          43.4
  38      2.4846e+02       5.6735e-02       -1.8868e-02        0.999          45.8
  39      1.8673e+02       5.8964e-02       -2.1514e-02        0.999          47.3
  40      1.4034e+02       6.2536e-02       -2.4304e-02        0.999          49.0
  41      1.0548e+02       6.6562e-02       -2.7613e-02        1.000          50.6
  42      7.9271e+01       7.1644e-02       -3.1448e-02        1.000          53.8
  43      5.9520e+01       7.7074e-02       -3.5323e-02        0.999          57.3
  44      4.4261e+01       8.4901e-02       -3.9312e-02        0.999          59.6
  45      3.2576e+01       9.1755e-02       -4.2382e-02        1.000          61.6
  46      2.3713e+01       9.8969e-02       -4.6471e-02        1.000          63.8
  47      1.7058e+01       1.0574e-01       -5.2049e-02        0.999          66.2
  48      1.2117e+01       1.1356e-01       -6.1027e-02        0.999          68.9
  49      8.4915e+00       1.2193e-01       -7.5821e-02        1.000          72.2
  50      5.8653e+00       1.1156e-01       -9.0461e-02        0.963          76.2
  51      3.9894e+00       1.5694e-01       -1.2912e-01        0.999          81.1
  52      2.6693e+00       1.9092e-01       -1.6332e-01        0.999          87.3
  53      1.7553e+00       2.5748e-01       -2.0522e-01        1.000          97.4
  54      1.1334e+00       3.7613e-01       -2.2754e-01        0.999         109.6
  55      7.1810e-01       5.1213e-01       -1.4777e-01        0.998         130.4
  56      4.4623e-01       5.2183e-01        2.0619e-03        0.982         155.7
  57      2.7192e-01       4.4210e-01        8.4238e-02        0.995         191.2

