File.......:  20210914_opg_5mol_5cm2_ocv_100ma - SEP,14.2021

System.....:  
Potential..:  -0.272V
Current....:  235.8uA
Temperature:  -2.8 +-0.0 C
Time.......:  15:59:41 - 16:07:26
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   59
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       9.2252e-02       -1.5785e-02        0.998           0.0
   2      1.3787e+03       9.0018e-02       -1.5410e-02        1.000           2.5
   3      1.8344e+03       8.7407e-02       -1.4545e-02        0.999           3.5
   4      2.4408e+03       8.3600e-02       -1.5240e-02        1.000           4.6
   5      3.2477e+03       7.8370e-02       -1.4636e-02        0.999           5.6
   6      4.3213e+03       7.2824e-02       -1.1202e-02        0.997           6.7
   7      5.7497e+03       6.9795e-02       -5.4395e-03        0.999           7.8
   8      7.6503e+03       7.1095e-02        1.0613e-03        0.999           8.8
   9      1.0179e+04       7.5202e-02        4.4012e-03        1.000           9.9
  10      1.3544e+04       7.8387e-02        4.8334e-03        0.999          11.1
  11      1.8021e+04       8.0390e-02        3.8816e-03        1.000          12.2
  12      2.3979e+04       8.1207e-02        3.2933e-03        0.998          13.3
  13      3.1905e+04       8.0915e-02        2.1477e-03        0.986          14.4
  14      4.2452e+04       8.1547e-02        2.4424e-03        0.997          15.5
  15      5.6484e+04       8.1817e-02        2.2478e-03        0.997          16.6
  16      7.5156e+04       7.9401e-02        1.1784e-03        0.993          17.9
  17      1.0000e+05       8.0988e-02        5.8135e-03        0.995          19.3
  18      7.5156e+04       8.0873e-02        4.0614e-03        0.995          20.4
  19      5.6484e+04       8.0795e-02        1.7170e-03        0.995          21.8
  20      4.2452e+04       8.1273e-02        2.4288e-03        0.997          23.1
  21      3.1905e+04       8.2341e-02        3.1477e-03        0.990          24.2
  22      2.3979e+04       8.0883e-02        2.9816e-03        0.997          25.4
  23      1.8021e+04       8.0019e-02        3.7963e-03        0.996          26.5
  24      1.3544e+04       7.8079e-02        4.4433e-03        0.999          27.6
  25      1.0179e+04       7.4652e-02        4.0357e-03        0.999          28.7
  26      7.6503e+03       7.0863e-02        9.9832e-04        0.999          29.7
  27      5.7497e+03       6.9845e-02       -5.5562e-03        0.999          30.7
  28      4.3213e+03       7.2220e-02       -1.1999e-02        0.998          31.8
  29      3.2477e+03       7.7561e-02       -1.4368e-02        0.998          32.8
  30      2.4408e+03       8.2895e-02       -1.5487e-02        0.998          33.8
  31      1.8344e+03       8.7317e-02       -1.5703e-02        0.998          34.9
  32      1.3787e+03       8.9599e-02       -1.5134e-02        0.999          35.9
  33      1.0362e+03       9.1681e-02       -1.5223e-02        0.998          36.9
  34      7.7875e+02       9.3380e-02       -1.6061e-02        0.997          38.0
  35      5.8528e+02       9.6275e-02       -1.6831e-02        0.998          39.0
  36      4.3987e+02       9.8394e-02       -1.8763e-02        0.998          40.9
  37      3.3059e+02       1.0074e-01       -2.0497e-02        0.999          42.9
  38      2.4846e+02       1.0377e-01       -2.5368e-02        0.999          44.6
  39      1.8673e+02       1.0656e-01       -2.6348e-02        0.999          46.2
  40      1.4034e+02       1.1050e-01       -2.9500e-02        0.997          47.8
  41      1.0548e+02       1.1456e-01       -3.4393e-02        0.999          49.5
  42      7.9271e+01       1.1812e-01       -4.0206e-02        0.999          51.1
  43      5.9520e+01       1.2299e-01       -4.5747e-02        1.000          52.9
  44      4.4261e+01       1.2732e-01       -5.5339e-02        0.999          54.7
  45      3.2576e+01       1.3703e-01       -6.6282e-02        0.998          56.7
  46      2.3713e+01       1.4460e-01       -8.2359e-02        1.000          59.7
  47      1.7058e+01       1.5504e-01       -1.0010e-01        0.999          63.3
  48      1.2117e+01       1.7159e-01       -1.2621e-01        1.000          66.6
  49      8.4915e+00       1.9120e-01       -1.6329e-01        0.999          69.9
  50      5.8653e+00       2.2095e-01       -2.1066e-01        1.000          73.9
  51      3.9894e+00       2.6776e-01       -2.7244e-01        0.998          78.8
  52      2.6693e+00       3.3497e-01       -3.4998e-01        0.998          85.0
  53      1.7553e+00       4.5246e-01       -4.3735e-01        1.000          95.1
  54      1.1334e+00       6.3953e-01       -5.1536e-01        1.000         107.3
  55      7.1810e-01       8.7055e-01       -5.0544e-01        0.997         128.2
  56      4.4623e-01       1.0156e+00       -3.7065e-01        0.988         153.4
  57      2.7192e-01       1.0166e+00       -1.9777e-01        0.985         188.8
  58      1.6257e-01       1.0556e+00       -1.4648e-01        0.996         242.5
  59      9.5466e-02       1.2965e+00       -1.5779e-01        0.972         322.6

