File.......:  dmfc_1mol_40c_200ma - JAN,19.2021

System.....:  
Potential..:  -0.265V
Current....:  -44.941mA
Temperature:  -2.8 +-0.0 C
Time.......:  11:29:37 - 11:44:06
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   77
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.2117e+01       1.9598e-02       -2.7105e-02        0.999           0.0
   2      1.7058e+01       1.7272e-02       -2.0488e-02        0.999           6.4
   3      2.3713e+01       1.5716e-02       -1.5695e-02        0.999           8.4
   4      3.2576e+01       1.4618e-02       -1.2206e-02        1.000          10.1
   5      4.4261e+01       1.3786e-02       -9.6712e-03        1.000          11.7
   6      5.9520e+01       1.3125e-02       -7.8094e-03        1.000          13.1
   7      7.9271e+01       1.2544e-02       -6.4422e-03        1.000          14.4
   8      1.0548e+02       1.2030e-02       -5.3633e-03        1.000          15.4
   9      1.4034e+02       1.1568e-02       -4.5173e-03        1.000          16.0
  10      1.8673e+02       1.1127e-02       -3.8399e-03        1.000          16.5
  11      2.4846e+02       1.0729e-02       -3.2917e-03        0.999          17.1
  12      3.3059e+02       1.0358e-02       -2.8387e-03        0.999          17.8
  13      4.3987e+02       1.0029e-02       -2.4662e-03        0.999          18.3
  14      5.8528e+02       9.7168e-03       -2.1550e-03        0.999          18.9
  15      7.7875e+02       9.4408e-03       -1.8933e-03        0.999          19.4
  16      1.0362e+03       9.1750e-03       -1.6652e-03        0.999          20.0
  17      1.3787e+03       8.9355e-03       -1.4683e-03        0.999          20.6
  18      1.8344e+03       8.6989e-03       -1.2915e-03        0.999          21.1
  19      2.4408e+03       8.4670e-03       -1.1294e-03        0.999          21.7
  20      3.2477e+03       8.2064e-03       -9.6646e-04        0.999          22.2
  21      4.3213e+03       7.8869e-03       -7.5037e-04        0.998          22.8
  22      5.7497e+03       7.5229e-03       -3.5331e-04        0.998          23.4
  23      7.6503e+03       7.3040e-03        2.5160e-04        0.997          23.9
  24      1.0179e+04       7.3165e-03        8.7207e-04        0.999          24.5
  25      1.3544e+04       7.3503e-03        1.4408e-03        0.998          25.2
  26      1.8021e+04       7.3519e-03        2.0744e-03        0.997          25.7
  27      2.3979e+04       7.3111e-03        2.8786e-03        0.994          26.3
  28      3.1905e+04       7.2345e-03        3.9389e-03        0.991          26.9
  29      4.2452e+04       7.1189e-03        5.3541e-03        0.986          27.5
  30      5.6484e+04       6.9460e-03        7.2511e-03        0.980          28.0
  31      7.5156e+04       6.6634e-03        9.8391e-03        0.972          28.7
  32      1.0000e+05       7.1161e-03        1.2353e-02        0.971          29.5
  33      7.5156e+04       7.1895e-03        9.1902e-03        0.974          30.3
  34      5.6484e+04       6.9448e-03        7.2521e-03        0.979          31.1
  35      4.2452e+04       7.1170e-03        5.3531e-03        0.985          31.9
  36      3.1905e+04       7.2362e-03        3.9378e-03        0.990          32.5
  37      2.3979e+04       7.3120e-03        2.8787e-03        0.994          33.1
  38      1.8021e+04       7.3521e-03        2.0747e-03        0.997          33.6
  39      1.3544e+04       7.3515e-03        1.4411e-03        0.998          34.2
  40      1.0179e+04       7.3148e-03        8.7245e-04        0.999          34.7
  41      7.6503e+03       7.3063e-03        2.5112e-04        0.996          35.3
  42      5.7497e+03       7.5224e-03       -3.5310e-04        0.998          35.8
  43      4.3213e+03       7.8904e-03       -7.5015e-04        0.998          36.4
